序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1,600000,浦发银行,2015/09/30,187亿,187亿,6.24万,1.99,14.49,14.37,1086亿,21.01,484亿,4.98亿,490亿,372亿,6.79,781亿,4.19,0.00,4.82万亿,0,174亿,8.02亿,4.52万亿,0,0,93.70,3003亿,6.23,606亿,3.25,0,0,1999/11/10
2,600004,白云机场,2015/09/30,11.5亿,11.5亿,2.77万,0.81,8.03,10.48,42.0亿,2.86,12.8亿,175万,12.9亿,9.26亿,24.35,40.4亿,3.52,40.01,117亿,28.4亿,62.0亿,2040万,22.9亿,21.1亿,1.77亿,19.53,92.4亿,78.85,34.0亿,2.96,0,0,2003/04/28
3,600005,武钢股份,2015/09/30,101亿,101亿,2.43万,-0.10,3.44,-2.81,490亿,-35.21,-12.0亿,1.20亿,-11.8亿,-10.0亿,-200.23,103亿,1.02,6.43,1004亿,424亿,448亿,9.06亿,653亿,550亿,103亿,65.05,348亿,34.64,99.3亿,0.98,0,0,1999/08/03
4,600006,东风汽车,2015/09/30,20.0亿,20.0亿,1.02万,0.17,3.20,5.30,115亿,-11.23,1.83亿,2.73亿,2.54亿,3.32亿,78.68,30.4亿,1.52,15.75,204亿,137亿,31.6亿,6.67亿,122亿,114亿,8.56亿,59.84,64.0亿,31.37,6.15亿,0.31,0,0,1999/07/27
5,600007,中国国贸,2015/09/30,10.1亿,10.1亿,4.66万,0.46,5.45,8.71,16.6亿,0.84,6.13亿,1099万,6.21亿,4.66亿,8.52,21.0亿,2.09,52.27,101亿,9.90亿,11.6亿,11.8亿,46.1亿,21.1亿,25.0亿,45.65,54.9亿,54.33,18.7亿,1.86,0,0,1999/03/12
6,600008,首创股份,2015/09/30,24.1亿,22.0亿,1.55万,0.10,3.34,3.41,28.7亿,0.65,2.07亿,1.28亿,3.31亿,2.44亿,10.48,15.4亿,0.64,36.05,334亿,143亿,32.9亿,89.6亿,229亿,88.3亿,140亿,68.40,80.6亿,24.12,33.5亿,1.39,0,0,2000/04/27
7,600009,上海机场,2015/09/30,19.3亿,10.9亿,1.98万,1.00,10.23,9.95,47.2亿,10.45,25.0亿,4.52亿,25.6亿,19.2亿,21.92,139亿,7.21,46.34,244亿,114亿,92.5亿,3.37亿,43.6亿,18.6亿,25.0亿,17.87,197亿,80.77,25.8亿,1.34,0,0,1998/02/18
8,600010,包钢股份,2015/09/30,326亿,157亿,2.66万,-0.06,1.52,-4.02,175亿,-25.89,-24.9亿,3681万,-16.3亿,-13.2亿,-265.66,10.6亿,0.03,-2.61,1481亿,445亿,263亿,20.4亿,985亿,851亿,133亿,66.47,495亿,33.40,148亿,0.45,0,0,2001/03/09
9,600011,华能国际,2015/09/30,144亿,105亿,8.89万,0.92,5.17,18.40,972亿,-7.98,210亿,13.1亿,215亿,132亿,16.74,371亿,2.57,30.34,2973亿,309亿,1902亿,123亿,2066亿,1167亿,899亿,69.51,746亿,25.08,143亿,0.99,0,39.2亿,2001/12/06
10,600012,皖通高速,2015/09/30,16.6亿,11.7亿,2.60万,0.42,4.75,9.03,18.3亿,3.69,9.54亿,5786万,9.53亿,7.02亿,4.79,50.0亿,3.01,60.01,117亿,9.96亿,7.95亿,91.5亿,30.5亿,9.63亿,20.9亿,25.99,78.9亿,67.23,2.81亿,0.17,0,4.93亿,2003/01/07
11,600015,华夏银行,2015/09/30,107亿,77.9亿,5.93万,1.30,10.50,12.90,432亿,5.76,186亿,-2.41亿,186亿,139亿,5.58,426亿,3.99,0.00,1.95万亿,0,104亿,8600万,1.84万亿,0,0,94.21,1122亿,5.75,288亿,2.69,0,0,2003/09/12
12,600016,民生银行,2015/09/30,365亿,296亿,6.88万,1.10,8.02,19.29,1162亿,16.27,506亿,48.2亿,509亿,384亿,4.35,1143亿,3.13,0.00,4.37万亿,0,355亿,52.5亿,4.07万亿,0,0,93.13,2925亿,6.69,647亿,1.77,0,69.3亿,2000/12/19
13,600017,日照港,2015/09/30,30.8亿,30.8亿,1.53万,0.12,3.30,3.51,33.0亿,-14.61,5.01亿,246万,5.03亿,3.53亿,-38.02,36.0亿,1.17,24.37,186亿,30.3亿,104亿,9.65亿,73.1亿,29.2亿,44.0亿,39.42,102亿,54.73,29.6亿,0.96,0,0,2006/10/17
14,600018,上港集团,2015/09/30,232亿,228亿,6.83万,0.20,2.51,8.08,223亿,4.23,62.9亿,12.9亿,69.1亿,45.2亿,-3.31,203亿,0.87,33.92,972亿,192亿,338亿,136亿,326亿,205亿,122亿,33.56,581亿,59.79,90.3亿,0.39,0,0,2006/10/26
15,600019,宝钢股份,2015/09/30,165亿,164亿,4.54万,0.14,6.92,1.98,1222亿,-14.90,28.5亿,2.72亿,29.5亿,22.5亿,-55.01,391亿,2.37,9.94,2366亿,752亿,882亿,89.5亿,1135亿,954亿,182亿,47.99,1140亿,48.17,338亿,2.05,0,0,2000/12/12
16,600020,中原高速,2015/09/30,22.5亿,22.5亿,1.66万,0.49,5.31,13.44,35.8亿,60.60,14.0亿,3.55亿,14.1亿,11.0亿,106.65,34.7亿,1.55,64.34,445亿,55.0亿,158亿,76.9亿,325亿,79.6亿,245亿,73.10,119亿,26.84,17.6亿,0.78,0,0,2003/08/08
17,600021,上海电力,2015/09/30,21.4亿,21.4亿,1.24万,0.43,4.52,9.54,127亿,14.50,22.1亿,5.82亿,22.6亿,9.12亿,51.56,29.7亿,1.39,26.25,498亿,102亿,273亿,10.8亿,348亿,118亿,230亿,69.98,96.8亿,19.46,42.0亿,1.96,0,0,2003/10/29
18,600022,山东钢铁,2015/09/30,84.2亿,64.4亿,1.88万,-0.12,1.87,-5.28,320亿,-20.54,-7.98亿,207万,-7.68亿,-7.75亿,0.00,-40.2亿,-0.48,4.35,609亿,201亿,346亿,1.53亿,386亿,337亿,49.3亿,63.46,158亿,25.90,106亿,1.26,0,0,2004/06/29
19,600023,浙能电力,2015/09/30,136亿,25.5亿,8005,0.44,3.97,11.55,287亿,-5.51,79.9亿,28.2亿,81.0亿,56.3亿,32.50,137亿,1.01,26.42,1021亿,216亿,503亿,18.7亿,402亿,154亿,248亿,39.41,540亿,52.84,235亿,1.72,0,0,2013/12/19
20,600026,中海发展,2015/09/30,40.3亿,27.4亿,1.95万,0.17,6.36,2.77,92.8亿,-2.01,7.82亿,1.43亿,6.96亿,6.91亿,709.75,116亿,2.88,19.42,676亿,62.8亿,447亿,1604万,410亿,64.0亿,346亿,60.75,257亿,37.97,77.7亿,1.93,0,13.0亿,2002/05/23
21,600027,华电国际,2015/09/30,98.6亿,59.4亿,3.27万,0.68,4.14,18.45,514亿,-9.97,102亿,3.41亿,104亿,60.7亿,28.13,156亿,1.59,32.40,2056亿,267亿,1290亿,148亿,1506亿,654亿,852亿,73.22,408亿,19.84,133亿,1.35,0,17.2亿,2005/02/03
22,600028,中国石化,2015/09/30,1211亿,956亿,11.3万,0.21,5.58,4.05,1.54万亿,-27.36,433亿,46.5亿,450亿,258亿,-49.49,2424亿,2.00,20.81,1.40万亿,3372亿,6907亿,784亿,6189亿,4427亿,1762亿,44.07,6755亿,48.10,1191亿,0.98,0,255亿,2001/08/08
23,600029,南方航空,2015/09/30,98.2亿,70.2亿,1.96万,0.47,4.05,12.33,853亿,4.28,52.7亿,6.12亿,73.6亿,46.6亿,270.70,143亿,1.45,20.89,1839亿,160亿,1427亿,26.5亿,1329亿,497亿,832亿,72.28,398亿,21.65,144亿,1.47,0,27.9亿,2003/07/25
24,600030,中信证券,2015/09/30,121亿,98.1亿,1.55万,1.40,11.01,14.11,424亿,144.03,220亿,151亿,221亿,160亿,151.16,455亿,3.75,0.00,6442亿,0,10.5亿,39.4亿,5078亿,0,0,78.83,1334亿,20.72,544亿,4.49,0,22.8亿,2003/01/06
25,600031,三一重工,2015/09/30,76.2亿,75.9亿,1.33万,0.01,2.98,0.20,185亿,-30.86,-1.44亿,3726万,7106万,3847万,-97.58,135亿,1.77,25.58,602亿,362亿,152亿,42.9亿,365亿,206亿,160亿,60.70,227亿,37.68,7.63亿,0.10,0,0,2003/07/03
26,600033,福建高速,2015/09/30,27.4亿,27.4亿,1.31万,0.17,2.91,6.00,19.2亿,-2.96,8.53亿,-6409万,8.72亿,4.75亿,-4.80,28.3亿,1.03,69.29,189亿,11.3亿,164亿,0,92.3亿,21.6亿,70.7亿,48.72,79.7亿,42.10,16.6亿,0.61,0,0,2001/02/09
27,600035,楚天高速,2015/09/30,14.5亿,14.5亿,1.12万,0.27,2.78,10.01,9.38亿,10.73,3.94亿,-245万,3.94亿,3.95亿,47.01,15.7亿,1.08,70.34,90.1亿,5.14亿,6.22亿,73.8亿,49.5亿,8.32亿,41.2亿,54.95,40.3亿,44.80,3.59亿,0.25,0,0,2004/03/10
28,600036,招商银行,2015/09/30,252亿,206亿,7.37万,1.92,13.84,19.50,1562亿,24.95,636亿,69.5亿,640亿,485亿,5.89,1702亿,6.75,0.00,5.22万亿,0,300亿,33.5亿,4.87万亿,0,0,93.30,3490亿,6.68,675亿,2.68,0,45.9亿,2002/04/09
29,600037,歌华有线,2015/09/30,11.7亿,11.7亿,1.95万,0.38,6.85,5.96,16.8亿,-0.05,1.54亿,3606万,4.32亿,4.31亿,45.50,27.7亿,2.37,17.14,105亿,47.4亿,41.8亿,1.14亿,24.6亿,11.5亿,13.1亿,23.51,80.0亿,76.44,34.9亿,2.99,0,0,2001/02/08
30,600038,中直股份,2015/09/30,5.89亿,3.93亿,9557,0.49,10.85,4.58,81.0亿,0.09,3.21亿,287万,3.31亿,2.89亿,19.35,11.7亿,1.99,14.69,202亿,165亿,25.0亿,5.89亿,138亿,130亿,8.16亿,68.23,64.0亿,31.69,42.3亿,7.18,0,0,2000/12/18
31,600039,四川路桥,2015/09/30,30.2亿,30.2亿,1.58万,0.15,2.63,5.11,186亿,5.02,5.50亿,4163万,5.46亿,4.42亿,-28.06,30.6亿,1.01,12.22,548亿,286亿,25.9亿,177亿,460亿,280亿,180亿,83.98,79.3亿,14.48,8.87亿,0.29,0,0,2003/03/25
32,600048,保利地产,2015/09/30,108亿,108亿,3.10万,0.60,6.11,10.16,634亿,21.42,111亿,4.09亿,112亿,64.7亿,6.42,462亿,4.30,35.09,3958亿,3791亿,30.6亿,2305万,3080亿,2187亿,892亿,77.80,658亿,16.61,70.8亿,0.66,0,0,2006/07/31
33,600050,中国联通,2015/09/30,212亿,212亿,2.87万,0.13,3.70,3.42,2119亿,-3.34,103亿,-6.36亿,104亿,26.9亿,-23.13,300亿,1.42,27.10,5617亿,664亿,3541亿,246亿,3284亿,2931亿,353亿,58.47,784亿,13.96,278亿,1.31,0,0,2002/10/09
34,600051,宁波联合,2015/09/30,3.11亿,3.06亿,9099,0.38,6.09,6.14,21.8亿,-28.66,1.98亿,7038万,2.19亿,1.15亿,20.26,8.12亿,2.61,22.22,77.8亿,61.4亿,6.55亿,8083万,57.2亿,41.7亿,15.5亿,73.58,18.9亿,24.33,2.24亿,0.72,0,0,1997/04/10
35,600052,浙江广厦,2015/09/30,8.72亿,8.72亿,1.31万,-0.12,2.13,-5.40,9.66亿,-39.91,-7833万,120万,-7392万,-1.04亿,-123.49,7.69亿,0.88,27.19,95.1亿,84.0亿,2.15亿,1035万,76.5亿,62.1亿,14.5亿,80.46,18.5亿,19.49,4554万,0.05,0,0,1997/04/15
36,600053,中江地产,2015/09/30,4.34亿,4.34亿,3.39万,0.07,2.03,3.30,3.72亿,-5.09,3937万,19.2万,3897万,2915万,-22.61,2.16亿,0.50,32.18,27.3亿,25.8亿,3148万,0,18.5亿,18.4亿,600万,67.72,8.80亿,32.28,1.89亿,0.44,0,0,1997/04/18
37,600054,黄山旅游,2015/09/30,4.98亿,1.18亿,3133,0.61,5.97,11.25,12.2亿,10.11,4.05亿,427万,4.12亿,2.92亿,36.87,16.1亿,3.23,52.25,39.8亿,17.8亿,19.0亿,7623万,9.67亿,9.32亿,3529万,24.33,29.7亿,74.80,5.94亿,1.19,1.56亿,0,1997/05/06
38,600055,华润万东,2015/09/30,2.16亿,2.16亿,1.41万,0.12,3.16,3.74,5.22亿,17.85,1290万,-83.9万,2472万,2532万,81.19,2.74亿,1.27,35.05,13.3亿,6.87亿,2.17亿,3736万,6.36亿,5.72亿,6424万,47.84,6.84亿,51.46,1.13亿,0.52,0,0,1997/05/19
39,600056,中国医药,2015/09/30,10.1亿,9.82亿,1.45万,0.51,5.20,10.05,145亿,13.12,7.48亿,1369万,7.55亿,5.17亿,22.78,19.9亿,1.96,12.69,154亿,127亿,14.6亿,2.32亿,96.3亿,77.1亿,19.2亿,62.33,52.6亿,34.08,17.3亿,1.71,0,0,1997/05/15
40,600057,象屿股份,2015/09/30,10.4亿,5.53亿,7942,0.16,3.81,4.29,438亿,34.35,3.03亿,4.40亿,3.40亿,1.66亿,-19.75,11.9亿,1.14,3.78,265亿,209亿,13.5亿,9.29亿,208亿,196亿,12.7亿,78.60,39.5亿,14.89,16.8亿,1.63,0,0,1997/06/04
41,600058,五矿发展,2015/09/30,10.7亿,10.7亿,1.91万,-0.86,7.12,-0.11,532亿,-51.54,-15.0亿,-271万,-14.9亿,-9.21亿,-621.16,17.8亿,1.66,3.33,487亿,341亿,98.7亿,12.6亿,397亿,347亿,49.5亿,81.48,76.4亿,15.68,37.9亿,3.54,0,0,1997/05/28
42,600059,古越龙山,2015/09/30,8.09亿,8.09亿,1.54万,0.11,4.61,2.28,9.59亿,4.21,1.14亿,1973万,1.16亿,8535万,18.46,8.38亿,1.04,35.53,41.3亿,25.8亿,11.5亿,1.49亿,3.75亿,3.63亿,1196万,9.07,37.2亿,90.11,18.8亿,2.33,0,0,1997/05/16
43,600060,海信电器,2015/09/30,13.1亿,13.1亿,2.00万,0.71,8.65,8.33,221亿,4.91,10.1亿,1550万,11.2亿,9.28亿,0.96,62.6亿,4.79,15.89,202亿,174亿,13.9亿,2.09亿,85.4亿,84.8亿,6824万,42.33,113亿,56.10,22.6亿,1.73,0,0,1997/04/22
44,600061,国投安信,2015/09/30,36.9亿,4.29亿,9014,1.05,7.04,15.59,16.3亿,-48.00,45.7亿,17.0亿,47.2亿,34.9亿,502.89,43.2亿,1.17,1.45,1662亿,1491亿,2.15亿,6.37亿,1402亿,1137亿,265亿,84.34,260亿,15.64,175亿,4.75,0,0,1997/05/19
45,600062,华润双鹤,2015/09/30,5.72亿,5.72亿,2.17万,0.75,10.69,7.29,30.9亿,-4.00,5.03亿,1928万,5.23亿,4.30亿,0.04,40.7亿,7.12,49.71,68.7亿,41.9亿,18.2亿,2.26亿,7.51亿,6.48亿,1.03亿,10.93,61.1亿,88.99,11.6亿,2.03,0,0,1997/05/22
46,600063,皖维高新,2015/09/30,16.5亿,15.0亿,1.06万,0.04,2.00,1.85,25.7亿,-15.54,7209万,3517万,8515万,7061万,-43.06,1.37亿,0.08,17.23,73.4亿,19.4亿,35.5亿,3.39亿,40.5亿,30.9亿,9.55亿,55.17,32.9亿,44.83,5.93亿,0.36,0,0,1997/05/28
47,600064,南京高科,2015/09/30,7.74亿,7.74亿,1.10万,0.93,9.97,9.04,23.8亿,25.08,8.98亿,8.05亿,8.97亿,7.23亿,143.96,23.6亿,3.05,26.71,196亿,103亿,1.58亿,1369万,115亿,97.3亿,17.3亿,58.38,77.2亿,39.32,4.60亿,0.59,0,0,1997/05/06
48,600066,宇通客车,2015/09/30,22.1亿,19.0亿,3.16万,0.84,5.05,16.83,189亿,25.33,20.6亿,2287万,21.7亿,18.7亿,35.29,64.4亿,2.91,23.88,255亿,185亿,34.4亿,9.78亿,143亿,136亿,6.25亿,55.90,112亿,43.83,12.8亿,0.58,0,0,1997/05/08
49,600067,冠城大通,2015/09/30,14.8亿,14.8亿,1.31万,0.18,4.77,3.79,39.9亿,-13.78,3.45亿,8389万,4.07亿,2.42亿,-28.95,35.8亿,2.42,21.89,203亿,159亿,9.89亿,4.83亿,118亿,75.6亿,42.1亿,57.89,70.7亿,34.77,16.7亿,1.12,0,0,1997/05/08
50,600068,葛洲坝,2015/09/30,46.0亿,41.5亿,1.11万,0.39,4.16,9.45,520亿,0.30,28.7亿,3.34亿,30.5亿,17.9亿,9.88,50.0亿,1.09,15.52,1205亿,730亿,117亿,160亿,944亿,641亿,303亿,78.38,192亿,15.92,74.8亿,1.63,0,0,1997/05/26
51,600069,*ST银鸽,2015/09/30,12.5亿,8.25亿,1.69万,-0.09,1.83,-0.07,19.6亿,-14.46,-1.95亿,0,-1.07亿,-8263万,0.00,-8.72亿,-0.70,5.67,54.6亿,18.7亿,21.1亿,2.14亿,31.7亿,16.2亿,15.5亿,58.13,22.9亿,42.00,18.4亿,1.47,0,0,1997/04/30
52,600070,浙江富润,2015/09/30,3.57亿,3.57亿,1.20万,0.00,2.79,0.04,5.94亿,-17.45,-534万,1357万,-348万,48.4万,-96.54,5055万,0.14,13.07,21.2亿,6.32亿,3.61亿,5435万,8.95亿,6.35亿,2.60亿,42.12,9.95亿,46.82,3292万,0.09,0,0,1997/06/04
53,600071,*ST光学,2015/09/30,2.37亿,2.37亿,2.27万,-0.07,2.00,-3.44,5.85亿,-10.02,-2798万,485万,-2669万,-1666万,0.00,5774万,0.24,7.95,10.9亿,5.81亿,4.04亿,3002万,4.83亿,4.61亿,2182万,44.47,4.76亿,43.80,1.10亿,0.46,0,0,1997/05/28
54,600072,钢构工程,2015/09/30,4.78亿,4.78亿,6087,-0.09,2.27,-4.05,6.80亿,6.93,-5243万,263万,-4449万,-4502万,0.00,7715万,0.16,7.42,21.4亿,11.8亿,7.20亿,8498万,9.94亿,8.92亿,1.02亿,46.35,10.9亿,50.64,4.06亿,0.85,0,0,1997/06/03
55,600073,上海梅林,2015/09/30,9.38亿,8.23亿,1.32万,0.12,3.35,3.34,91.5亿,-7.57,1.23亿,2496万,1.57亿,1.09亿,-14.92,2.88亿,0.31,13.18,72.8亿,43.9亿,15.2亿,2.30亿,37.9亿,35.4亿,2.45亿,52.03,31.5亿,43.23,18.5亿,1.97,0,0,1997/07/04
56,600074,保千里,2015/09/30,22.7亿,8.96亿,8593,0.09,0.61,19.81,8.81亿,47.47,1.99亿,0,2.24亿,1.93亿,43.93,5.33亿,0.24,43.40,20.2亿,17.3亿,1.95亿,139万,6.35亿,6.35亿,0,31.46,13.8亿,68.54,-14.4亿,-0.63,0,0,1997/06/23
57,600075,新疆天业,2015/09/30,4.39亿,4.39亿,7117,0.05,3.57,1.41,14.3亿,-56.21,1741万,8888万,2585万,2193万,-49.67,6.65亿,1.52,10.38,34.1亿,18.8亿,8.55亿,2.23亿,13.8亿,13.6亿,1889万,40.40,15.6亿,45.86,2.48亿,0.56,0,0,1997/06/17
58,600076,青鸟华光,2015/09/30,3.66亿,3.66亿,6718,-0.05,0.29,-16.54,323万,-51.92,-2181万,16.5万,-2241万,-1940万,0.00,-8.29亿,-2.27,12.49,7.97亿,7.43亿,211万,0,5.72亿,4.87亿,8508万,71.75,1.08亿,13.50,4.88亿,1.33,0,0,1997/05/26
59,600077,宋都股份,2015/09/30,13.4亿,10.9亿,2.92万,0.01,2.77,0.31,18.1亿,9.84,3525万,-382万,3415万,1152万,87.76,18.7亿,1.40,16.26,150亿,145亿,5572万,25.8万,111亿,70.2亿,40.8亿,74.12,37.2亿,24.83,12.7亿,0.95,0,0,1997/05/20
60,600078,澄星股份,2015/09/30,6.63亿,6.63亿,1.20万,0.03,2.70,1.17,18.3亿,-2.00,3742万,0,4244万,2094万,-22.24,5.97亿,0.90,14.18,56.7亿,25.1亿,20.6亿,1.78亿,36.7亿,32.0亿,4.77亿,64.77,17.9亿,31.53,3.89亿,0.59,0,0,1997/06/27
61,600079,人福医药,2015/09/30,12.9亿,10.3亿,1.29万,0.35,5.95,6.63,69.3亿,37.46,7.23亿,1.10亿,7.49亿,4.41亿,34.59,23.2亿,1.80,37.19,177亿,90.9亿,32.5亿,8.23亿,88.2亿,76.5亿,11.7亿,49.75,76.5亿,43.16,38.5亿,3.00,0,0,1997/06/06
62,600080,金花股份,2015/09/30,3.05亿,3.05亿,1.04万,0.07,3.41,2.13,5.76亿,19.04,2340万,-65.6万,2601万,2197万,-24.90,3.83亿,1.26,41.25,12.8亿,4.77亿,3.84亿,3706万,2.39亿,2.31亿,788万,18.63,10.4亿,81.32,2.57亿,0.84,0,0,1997/06/12
63,600081,东风科技,2015/09/30,3.14亿,3.14亿,8959,0.43,3.39,12.90,33.1亿,-8.20,2.41亿,6667万,2.56亿,1.36亿,-12.38,6.24亿,1.99,17.89,41.8亿,25.0亿,10.0亿,1.42亿,26.7亿,26.0亿,7069万,63.88,10.6亿,25.44,1523万,0.05,0,0,1997/07/03
64,600082,海泰发展,2015/09/30,6.46亿,6.32亿,1.13万,-0.01,2.69,-0.30,5.40亿,-25.69,-820万,178万,-12.9万,-516万,-109.42,5.81亿,0.90,9.65,36.2亿,34.9亿,4043万,17.8万,18.8亿,15.7亿,3.09亿,51.95,17.4亿,48.05,4.13亿,0.64,0,0,1997/06/20
65,600083,博信股份,2015/09/30,2.30亿,2.27亿,1.24万,0.05,0.22,23.96,8209万,35.41,2166万,0,2172万,1054万,232.51,-2.80亿,-1.22,38.55,1.18亿,9059万,308万,664万,5902万,5805万,97.7万,49.99,5044万,42.72,9644万,0.42,0,0,1997/06/06
66,600084,中葡股份,2015/09/30,11.2亿,8.10亿,1.55万,-0.09,2.07,-4.39,1.99亿,-22.61,-1.19亿,4207万,-1.06亿,-1.05亿,0.00,-15.9亿,-1.41,58.14,42.9亿,36.9亿,3.27亿,1.25亿,20.1亿,14.7亿,5.43亿,46.90,23.3亿,54.35,27.1亿,2.41,0,0,1997/07/11
67,600085,同仁堂,2015/09/30,13.7亿,13.7亿,2.37万,0.49,5.01,10.36,79.4亿,9.67,13.6亿,251万,13.7亿,6.63亿,14.39,30.5亿,2.23,46.79,139亿,112亿,13.0亿,3.30亿,34.7亿,33.1亿,1.51亿,24.90,68.6亿,49.32,19.9亿,1.45,0,0,1997/06/25
68,600086,东方金钰,2015/09/30,13.5亿,10.6亿,8875,0.22,2.03,12.83,67.1亿,84.64,3.89亿,1.20亿,3.88亿,2.92亿,241.85,7.24亿,0.54,8.30,91.2亿,83.8亿,2.08亿,4238万,63.4亿,49.1亿,14.4亿,69.59,27.5亿,30.12,6.32亿,-0.20,0,0,1997/06/06
69,600088,中视传媒,2015/09/30,3.31亿,3.31亿,1.51万,0.12,3.51,3.50,3.47亿,-26.43,5441万,0,5532万,4042万,4.85,3.86亿,1.16,29.14,14.4亿,10.0亿,4.03亿,0,2.37亿,2.37亿,0,16.41,11.6亿,80.56,3.20亿,0.97,0,0,1997/06/16
70,600089,特变电工,2015/09/30,32.5亿,31.8亿,1.02万,0.50,6.30,8.00,274亿,3.58,17.1亿,4085万,19.6亿,16.1亿,17.07,88.6亿,2.73,17.46,660亿,420亿,174亿,32.6亿,428亿,324亿,104亿,64.80,205亿,31.03,81.5亿,2.51,0,0,1997/06/18
71,600090,啤酒花,2015/09/30,3.68亿,3.68亿,7900,0.16,1.38,11.97,11.2亿,9.65,1.54亿,1125万,1.56亿,5751万,-6.42,-2.81亿,-0.76,40.79,15.5亿,8.55亿,5.11亿,5414万,6.37亿,3.70亿,2.67亿,41.12,5.09亿,32.88,3.85亿,1.05,0,0,1997/06/16
72,600091,*ST明科,2015/09/30,3.37亿,3.37亿,1.76万,-0.41,0.48,-63.52,1373万,6.81,-1.38亿,-4859万,-1.38亿,-1.38亿,0.00,-14.7亿,-4.37,3.47,11.8亿,4.50亿,1288万,1.21亿,10.2亿,7.31亿,2.86亿,86.35,1.61亿,13.65,12.2亿,3.62,0,0,1997/07/04
73,600093,禾嘉股份,2015/09/30,11.2亿,3.22亿,1.11万,0.21,4.80,5.83,17.0亿,461.90,1.48亿,3350万,1.54亿,1.24亿,265.65,2.13亿,0.19,6.30,87.3亿,83.2亿,3.10亿,3213万,28.4亿,28.4亿,509万,32.57,53.9亿,61.68,40.4亿,3.60,0,0,1997/06/26
74,600094,大名城,2015/09/30,20.1亿,18.1亿,1.85万,0.14,2.86,4.85,37.4亿,173.96,4.91亿,1.05亿,4.76亿,2.74亿,396.44,10.0亿,0.50,38.37,317亿,284亿,4.44亿,0,243亿,134亿,109亿,76.56,57.5亿,18.14,24.9亿,1.24,1.99亿,0,1997/07/03
75,600095,哈高科,2015/09/30,3.61亿,3.61亿,5283,-0.03,1.93,-1.46,1.61亿,-55.93,-1276万,444万,-1088万,-1026万,-229.80,1976万,0.05,41.94,11.9亿,7.94亿,1.96亿,3056万,4.74亿,4.66亿,799万,39.69,6.97亿,58.33,2.67亿,0.74,0,0,1997/07/08
76,600096,云天化,2015/09/30,11.3亿,5.21亿,1.07万,0.04,4.93,0.77,391亿,2.49,8814万,2082万,2.33亿,4280万,0.00,-2907万,-0.03,14.43,660亿,289亿,200亿,46.2亿,591亿,478亿,114亿,89.56,55.6亿,8.43,40.8亿,3.62,0,0,1997/07/09
77,600097,开创国际,2015/09/30,2.03亿,2.03亿,1.57万,0.08,4.50,1.87,4.57亿,-31.41,-1.25亿,0,1712万,1712万,-77.67,4.11亿,2.03,7.10,13.1亿,6.23亿,6.75亿,0,3.90亿,3.62亿,2864万,29.91,9.12亿,69.85,2549万,0.13,0,0,1997/06/19
78,600098,广州发展,2015/09/30,27.3亿,27.3亿,3.01万,0.36,5.29,6.94,135亿,-8.16,17.2亿,4.34亿,18.3亿,9.85亿,-2.30,51.7亿,1.90,18.14,351亿,87.8亿,164亿,5.58亿,171亿,66.4亿,105亿,48.82,144亿,41.10,38.3亿,1.40,0,0,1997/07/18
79,600099,林海股份,2015/09/30,2.19亿,2.19亿,1.27万,0.01,2.15,0.41,2.60亿,2.45,305万,0,309万,238万,5.60,2852万,0.13,13.03,6.02亿,4.12亿,1.33亿,2263万,1.30亿,1.30亿,0,21.58,4.72亿,78.42,1.99亿,0.91,0,0,1997/07/04
80,600100,同方股份,2015/09/30,29.6亿,20.7亿,1.10万,0.20,5.78,3.58,179亿,9.74,9.54亿,21.0亿,11.9亿,5.67亿,360.22,38.4亿,1.30,17.72,557亿,302亿,53.3亿,23.8亿,338亿,266亿,71.6亿,60.66,171亿,30.79,97.0亿,3.27,0,0,1997/06/27
81,600101,明星电力,2015/09/30,3.24亿,3.24亿,1.08万,0.27,5.84,4.70,9.15亿,3.58,9262万,2037万,9790万,8735万,-23.50,10.0亿,3.08,18.41,27.7亿,3.78亿,17.5亿,1.68亿,8.67亿,5.63亿,3.04亿,31.29,18.9亿,68.33,4.61亿,1.42,0,0,1997/06/27
82,600103,青山纸业,2015/09/30,10.6亿,10.6亿,6812,-0.08,1.09,-7.39,15.6亿,15.08,-6113万,-34.0万,-5607万,-8861万,-1927.55,-1.19亿,-0.11,13.11,35.1亿,15.7亿,12.7亿,4.39亿,22.2亿,16.6亿,5.56亿,63.18,11.6亿,32.92,746万,0.01,0,0,1997/07/03
83,600104,上汽集团,2015/09/30,110亿,110亿,6.70万,1.93,15.04,12.95,4698亿,0.28,331亿,215亿,340亿,213亿,4.18,828亿,7.51,10.81,4621亿,2414亿,382亿,74.1亿,2605亿,2201亿,404亿,56.37,1658亿,35.88,386亿,3.50,0,0,1997/11/25
84,600105,永鼎股份,2015/09/30,4.72亿,3.81亿,8102,0.27,4.50,6.01,15.0亿,1.16,1.34亿,5918万,1.53亿,1.18亿,-22.83,6.52亿,1.38,13.18,32.7亿,17.6亿,4.86亿,5301万,10.6亿,10.1亿,4810万,32.39,21.3亿,65.10,7.78亿,1.65,0,0,1997/09/29
