序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1542,002003,伟星股份,2015/09/30,4.08亿,3.52亿,1.38万,0.49,4.40,11.14,14.6亿,4.23,2.60亿,57.9万,2.58亿,2.01亿,3.89,5.66亿,1.39,39.95,22.0亿,10.1亿,9.29亿,1.64亿,3.85亿,3.84亿,113万,17.47,18.0亿,81.51,6.53亿,1.60,0,0,2004/06/25
1543,002004,华邦健康,2015/09/30,18.8亿,12.5亿,9924,0.32,3.96,8.47,47.4亿,25.63,7.03亿,1.08亿,7.10亿,5.91亿,60.12,18.2亿,0.97,34.06,172亿,76.7亿,21.5亿,8.05亿,94.5亿,54.3亿,40.2亿,54.85,74.5亿,43.26,36.4亿,1.93,0,0,2004/06/25
1544,002005,德豪润达,2015/09/30,14.0亿,11.7亿,1.54万,0.04,3.99,1.10,33.5亿,6.74,-9429万,1506万,8964万,6125万,-13.06,6.75亿,0.48,18.11,135亿,55.2亿,36.4亿,7.51亿,74.2亿,54.1亿,20.1亿,55.17,55.7亿,41.38,34.1亿,2.44,0,0,2004/06/25
1545,002006,精功科技,2015/09/30,4.55亿,2.94亿,6003,0.01,1.88,0.60,3.09亿,-56.67,-153万,-97.8万,348万,512万,0.00,5336万,0.12,19.91,15.2亿,10.1亿,2.70亿,3862万,6.55亿,6.46亿,854万,43.07,8.55亿,56.22,2.70亿,0.59,0,0,2004/06/25
1546,002007,华兰生物,2015/09/30,5.81亿,5.01亿,1.25万,0.79,6.06,12.65,11.1亿,14.76,5.28亿,4043万,5.48亿,4.59亿,8.71,22.8亿,3.92,60.57,39.1亿,25.7亿,7.39亿,2.02亿,1.50亿,1.50亿,0,3.84,35.2亿,90.15,3.79亿,0.65,0,0,2004/06/25
1547,002008,大族激光,2015/09/30,10.6亿,9.81亿,1.07万,0.58,4.30,14.08,42.6亿,-0.20,5.80亿,2660万,7.11亿,6.12亿,15.62,24.0亿,2.27,39.54,76.7亿,48.8亿,13.0亿,2.00亿,29.4亿,25.5亿,3.88亿,38.29,45.4亿,59.17,7.16亿,0.68,0,0,2004/06/25
1548,002009,天奇股份,2015/09/30,3.21亿,2.60亿,5931,0.16,4.55,3.48,13.0亿,5.99,5094万,330万,7141万,5024万,-38.70,4.49亿,1.40,22.72,43.0亿,28.8亿,6.95亿,2.57亿,26.0亿,25.1亿,8752万,60.41,14.6亿,33.99,6.30亿,1.96,0,0,2004/06/29
1549,002010,传化股份,2015/09/30,4.88亿,4.13亿,2.37万,0.63,4.25,15.59,33.2亿,-13.74,4.24亿,1.55亿,4.32亿,3.07亿,98.93,12.8亿,2.63,25.72,39.4亿,25.4亿,7.74亿,2.64亿,17.6亿,10.6亿,6.99亿,44.74,20.7亿,52.63,1.79亿,0.37,0,0,2004/06/29
1550,002011,盾安环境,2015/09/30,8.43亿,8.40亿,1.30万,0.08,4.20,1.98,44.0亿,-10.37,1837万,1537万,7624万,6985万,-38.95,11.2亿,1.32,18.46,103亿,40.9亿,15.4亿,36.1亿,67.1亿,50.8亿,16.2亿,65.21,35.4亿,34.46,13.7亿,1.63,0,0,2004/07/05
1551,002012,凯恩股份,2015/09/30,4.68亿,4.68亿,1.14万,0.04,2.53,1.76,6.61亿,-5.96,2953万,397万,3130万,2061万,-43.07,3.77亿,0.81,26.56,16.3亿,8.21亿,6.70亿,4210万,3.84亿,3.64亿,1969万,23.54,11.8亿,72.40,2.72亿,0.58,0,0,2004/07/05
