Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,35.82,38.15,35.75,37.26,4156000,37.26
2015-02-12,35.28,36.18,35.05,35.59,1407400,35.59
2015-02-11,34.80,35.99,34.36,35.51,2635700,35.51
2015-02-10,34.66,35.09,33.77,34.85,2669500,34.85
2015-02-09,35.09,36.47,34.72,35.20,2384900,35.20
2015-02-06,36.00,36.59,35.49,35.75,3038400,35.75
2015-02-05,35.86,36.90,35.19,36.30,7413500,36.30
2015-02-04,32.30,35.37,32.30,35.37,6164600,35.37
2015-02-03,31.86,32.36,31.80,32.15,942400,32.15
2015-02-02,31.57,32.37,31.20,31.95,645300,31.95
2015-01-30,33.00,33.39,31.80,31.87,1267000,31.87
2015-01-29,33.81,33.81,33.05,33.13,889800,33.13
2015-01-28,33.89,34.35,33.66,33.99,1038700,33.99
2015-01-27,33.94,34.10,33.40,33.83,874400,33.83
2015-01-26,33.20,33.93,32.87,33.70,918100,33.70
2015-01-23,34.12,34.52,33.26,33.31,1307200,33.31
2015-01-22,33.42,34.19,33.42,34.13,1607900,34.13
2015-01-21,32.83,33.72,32.83,33.60,1587700,33.60
2015-01-20,31.90,33.33,31.81,33.22,1024100,33.22
2015-01-19,32.10,33.70,30.50,31.90,1011500,31.90
2015-01-16,32.41,32.75,32.12,32.51,620600,32.51
2015-01-15,32.75,33.38,32.30,32.33,680800,32.33
2015-01-14,33.70,33.93,32.78,32.84,789900,32.84
2015-01-13,32.90,34.00,32.67,33.62,1388200,33.62
2015-01-12,32.10,33.35,32.00,32.85,1122400,32.85
2015-01-09,32.00,33.29,31.80,32.33,1235800,32.33
2015-01-08,32.35,32.89,32.10,32.11,570300,32.11
2015-01-07,32.97,33.18,32.02,32.38,768900,32.38
2015-01-06,32.50,33.10,32.15,32.97,1367100,32.97
2015-01-05,32.70,34.66,32.42,33.08,3302600,33.08
2015-01-02,31.70,31.70,31.70,31.70,000,31.70
2015-01-01,31.70,31.70,31.70,31.70,000,31.70
2014-12-31,29.99,31.70,29.80,31.70,1199700,31.70
2014-12-30,30.25,30.53,29.01,30.10,1034600,30.10
2014-12-29,31.12,31.12,30.18,30.30,1065400,30.30
2014-12-26,31.88,31.99,31.40,31.56,615200,31.56
2014-12-25,31.71,32.45,31.47,31.81,771600,31.81
2014-12-24,30.90,31.57,30.54,31.51,928000,31.51
2014-12-23,30.40,31.18,30.15,30.27,858200,30.27
2014-12-22,33.00,33.00,30.19,30.22,1753900,30.22
2014-12-19,34.45,34.80,33.34,33.54,1128700,33.54
2014-12-18,35.60,35.60,34.54,34.60,982100,34.60
2014-12-17,34.55,35.65,33.88,35.46,2039100,35.46
2014-12-16,35.32,35.32,34.50,34.64,1382200,34.64
2014-12-15,34.20,35.41,34.06,35.35,2070900,35.35
2014-12-12,34.35,34.37,33.73,34.00,1518500,34.00
2014-12-11,33.89,34.40,33.70,34.09,1158000,34.09
2014-12-10,33.21,34.34,33.07,34.10,1679100,34.10
2014-12-09,35.39,35.68,33.05,33.21,2334800,33.21
2014-12-08,36.41,36.55,35.17,35.20,2445600,35.20
2014-12-05,38.29,38.30,36.35,36.65,1986000,36.65
2014-12-04,38.00,38.90,38.00,38.60,1597000,38.60
